Temps,EMG1,EMG2,EMG3
39.331,0.15,0.11,0.14500000000000002
39.447,0.14500000000000002,0.1,0.14500000000000002
39.628,0.14500000000000002,0.095,0.14
39.808,0.15,0.10500000000000001,0.14500000000000002
40.047,0.15,0.095,0.14
40.226,0.155,0.1,0.15
40.406,0.15,0.1,0.15
40.649,0.15,0.095,0.14
40.826,0.155,0.1,0.14500000000000002
41.006,0.15,0.1,0.14500000000000002
41.25,0.15,0.095,0.14
41.427,0.155,0.10500000000000001,0.15500000000000003
41.607,0.16,0.06,0.215
41.848,0.165,0.09,0.19
42.03,0.165,0.12,0.15
42.267,0.155,0.10500000000000001,0.15
42.448,0.16,0.1,0.155
42.63,0.16,0.09,0.16
42.869,0.155,0.095,0.155
43.048,0.16,0.1,0.155
43.23,0.16,0.095,0.16
43.465,0.16,0.095,0.155
43.646,0.155,0.1,0.155
43.827,0.155,0.1,0.16
44.079,0.16,0.1,0.155
44.261,0.155,0.1,0.155
44.487,0.16,0.095,0.155
44.667,0.155,0.1,0.15
44.849,0.16,0.1,0.155
45.086,0.155,0.1,0.155
45.265,0.155,0.095,0.15
45.446,0.155,0.1,0.155
45.687,0.15,0.095,0.155
45.868,0.155,0.1,0.15
46.048,0.155,0.095,0.155
46.286,0.16,0.095,0.155
46.466,0.15,0.1,0.14500000000000002
46.646,0.15,0.1,0.155
46.892,0.15,0.095,0.15
47.066,0.15,0.1,0.15
47.305,0.15,0.095,0.16
47.486,0.15,0.095,0.15
47.666,0.15,0.1,0.14500000000000002
47.906,0.155,0.1,0.16
48.086,0.16,0.10500000000000001,0.14500000000000002
48.266,0.16999999999999998,0.12000000000000001,0.195
48.506,0.32,0.165,0.31
48.686,0.525,0.55,0.65
48.866,0.8300000000000001,0.74,0.69
49.107,0.7250000000000001,0.455,0.515
49.286,0.33499999999999996,0.27,0.385
49.465,0.20500000000000002,0.14,0.28500000000000003
49.709,0.21000000000000002,0.10500000000000001,0.28500000000000003
49.887,0.14500000000000002,0.1,0.225
50.126,0.14500000000000002,0.09,0.215
50.309,0.14500000000000002,0.09,0.215
50.485,0.14,0.1,0.2
50.725,0.14,0.095,0.195
50.908,0.14,0.09,0.2
51.087,0.14,0.09,0.2
51.327,0.14,0.095,0.19
51.506,0.14,0.08499999999999999,0.2
51.686,0.14,0.09,0.195
51.926,0.14,0.09,0.19
52.107,0.14,0.09,0.2
52.286,0.14,0.09,0.195
52.526,0.14,0.09,0.19
52.707,0.135,0.09,0.2
52.946,0.14,0.09,0.2
53.129,0.13,0.09,0.19
53.306,0.14,0.08499999999999999,0.2
53.546,0.14,0.09,0.195
53.727,0.135,0.09,0.19
53.906,0.135,0.08499999999999999,0.20500000000000002
54.146,0.14,0.09,0.20500000000000002
54.326,0.13,0.09,0.19
54.507,0.135,0.09,0.2
54.746,0.14,0.09,0.20500000000000002
54.925,0.135,0.09,0.2
55.166,0.135,0.09,0.20500000000000002
55.353,0.14,0.09,0.20500000000000002
55.526,0.14,0.09,0.20500000000000002
55.766,0.14,0.115,0.2
55.946,0.15000000000000002,0.10500000000000001,0.2
56.126,0.15,0.11,0.2
56.366,0.14500000000000002,0.11,0.195
56.547,0.14500000000000002,0.095,0.195
56.726,0.14,0.10500000000000001,0.19
56.965,0.14,0.11499999999999999,0.19
57.145,0.14,0.095,0.195
57.326,0.14,0.10500000000000001,0.19
57.567,0.14,0.11,0.195
57.746,0.14,0.1,0.19
57.988,0.14,0.1,0.19
58.166,0.14500000000000002,0.10500000000000001,0.195
TOTAL_RMS,,,
RMS Finals,,0.20,0.15,0.21,,RMS_TOT: 0.19
