Temps,EMG1,EMG2,EMG3
117.246,0.23,0.155,0.215
117.426,0.23,0.16,0.22
117.608,0.23,0.16,0.21
117.845,0.22,0.155,0.20500000000000002
118.026,0.22,0.155,0.2
118.206,0.23,0.16,0.20500000000000002
118.447,0.23,0.16,0.215
118.627,0.20500000000000002,0.2,0.18
118.806,0.20500000000000002,0.19,0.18
119.047,0.21,0.16,0.19
119.226,0.22,0.175,0.20500000000000002
119.406,0.215,0.185,0.2
119.648,0.215,0.175,0.20500000000000002
119.826,0.21,0.165,0.2
120.006,0.21500000000000002,0.16999999999999998,0.21000000000000002
120.247,0.215,0.16,0.20500000000000002
120.426,0.245,0.19,0.225
120.606,0.235,0.2,0.22
120.847,0.215,0.18,0.20500000000000002
121.03,0.21,0.155,0.2
121.205,0.235,0.175,0.22499999999999998
121.45,0.24,0.19,0.22
121.626,0.24,0.195,0.22
121.806,0.23,0.195,0.21
122.046,0.23,0.19,0.215
122.225,0.24,0.19,0.22
122.406,0.245,0.19,0.22
122.646,0.24,0.2,0.22
122.826,0.23,0.2,0.21
123.006,0.22999999999999998,0.16999999999999998,0.21500000000000002
123.246,0.235,0.19,0.215
123.426,0.24,0.195,0.22
123.607,0.24,0.2,0.215
123.846,0.23,0.20500000000000002,0.21
124.086,0.23,0.195,0.21
124.206,0.24,0.19,0.215
124.446,0.24,0.19,0.22
124.627,0.235,0.195,0.215
124.806,0.235,0.2,0.21
125.046,0.265,0.18,0.21000000000000002
125.226,0.26,0.16,0.20500000000000002
125.406,0.275,0.14500000000000002,0.24
125.646,0.39,0.33999999999999997,0.40499999999999997
125.826,0.765,0.56,1
126.006,0.915,0.355,0.8
126.246,0.895,0.45,0.655
126.426,0.8500000000000001,0.48,0.735
126.606,0.73,0.575,0.595
126.846,0.32999999999999996,0.315,0.445
127.026,0.275,0.225,0.345
127.206,0.235,0.155,0.28
127.446,0.215,0.15000000000000002,0.27
127.626,0.19,0.15000000000000002,0.255
127.806,0.20500000000000002,0.16999999999999998,0.245
128.046,0.2,0.155,0.24
128.226,0.215,0.165,0.255
128.406,0.215,0.18,0.245
128.646,0.21,0.185,0.245
128.829,0.21,0.175,0.24
129.005,0.21,0.17,0.24
129.246,0.22,0.175,0.24
129.426,0.21,0.18,0.24
129.607,0.21,0.185,0.24
129.846,0.20500000000000002,0.175,0.23
130.026,0.215,0.175,0.24
130.207,0.215,0.18,0.24
130.446,0.21,0.185,0.235
130.626,0.21,0.18,0.235
130.807,0.21,0.165,0.235
131.046,0.21,0.165,0.24
131.225,0.21,0.175,0.24
131.466,0.21,0.18,0.235
131.645,0.20500000000000002,0.185,0.23
131.826,0.20500000000000002,0.16999999999999998,0.235
132.066,0.21,0.17,0.24
132.246,0.21,0.17,0.24
132.426,0.20500000000000002,0.16499999999999998,0.235
132.666,0.155,0.18,0.165
132.846,0.15500000000000003,0.185,0.165
133.026,0.17,0.165,0.185
133.265,0.18,0.15000000000000002,0.20500000000000002
133.446,0.18,0.14,0.215
133.626,0.17,0.13,0.215
133.866,0.18,0.13,0.22
134.046,0.19,0.125,0.24
134.226,0.19,0.135,0.235
134.466,0.185,0.13,0.23
134.646,0.185,0.13,0.225
134.826,0.19,0.14,0.215
135.066,0.19,0.135,0.22
135.246,0.19,0.14,0.22
TOTAL_RMS,,,
RMS Finals,,0.29,0.21,0.29,,RMS_TOT: 0.27
