Temps,EMG1,EMG2,EMG3
503.286,0.07,0.63,-1.14
503.461,-0.01,0.72,-0.39
503.47,0.2,0.57,-0.52
503.584,0.13,0.8,-0.41
503.704,0.05,0.61,-0.57
503.765,0.23,0.66,-0.52
503.885,0.06,0.78,-0.39
504.016,0.14,0.77,-0.54
504.064,0.27,0.67,-0.54
504.184,0.06,0.6,-0.4
504.31,0.19,0.74,-0.41
504.365,0.09,0.85,-0.56
504.484,0.18,0.8,-0.45
504.605,0.14,0.73,-0.43
504.665,0.18,0.67,-0.53
504.784,0.22,0.85,-0.48
504.905,0.24,0.72,-0.52
504.965,0.14,0.57,-0.52
505.16,0.24,0.8,-0.39
505.204,0.26,0.75,-0.5
505.322,-0.01,0.66,-0.48
505.442,0.09,0.73,-0.4
505.504,0.05,0.84,-0.39
505.565,0.14,0.8,-0.53
505.684,0.08,0.87,-0.43
505.804,0.01,0.77,-0.53
505.921,0.13,0.63,-0.42
505.984,0.02,0.8,-0.53
506.104,-0.01,0.64,-0.42
506.164,-0.01,0.61,-0.53
506.285,0.17,0.82,-0.48
506.406,0.14,0.56,-0.44
506.466,0.02,0.54,-0.39
506.584,0.09,0.51,-0.55
506.705,0.15,0.57,-0.43
506.764,0.16,0.55,-0.49
506.944,0.08,0.47,-0.52
507.006,0.16,0.56,-0.45
507.123,0.13,0.56,-0.56
507.186,0.05,0.53,-0.55
507.364,0.1,0.52,-0.39
507.378,0,0.46,-0.66
507.486,0.09,0.44,-0.79
507.604,0.27,0.47,-0.59
507.664,0.26,0.42,-0.68
507.784,0.15,0.55,-0.78
507.906,0.14,0.57,-0.58
507.966,-0.02,0.53,-0.58
508.085,-0.02,0.45,-0.8
508.206,0.14,0.5,-0.87
508.266,-0.03,0.51,-0.69
508.386,0.03,0.62,-0.84
508.505,0.02,0.84,-0.86
508.565,0.23,0.83,-0.77
508.686,0.12,0.75,-0.62
508.806,-0.01,0.75,-0.75
508.866,0.04,0.79,-0.84
508.985,0.04,0.82,-0.68
509.224,0.09,0.57,-0.74
509.239,-0.01,0.76,-0.7
509.285,0.26,0.86,-0.87
509.405,0.04,0.6,-0.5
509.523,0.12,0.66,-0.44
509.585,0.01,0.68,-0.39
509.705,0.01,0.65,-0.4
509.765,0.07,0.71,-0.58
509.885,0.04,0.72,-0.4
510.007,-0.02,0.77,-0.47
510.067,0.14,0.75,-0.57
510.186,0.09,0.87,-0.47
510.306,0.07,0.62,-0.42
510.366,0.08,0.85,-0.48
510.486,0.05,0.7,-0.39
510.606,-0.01,0.8,-0.46
510.666,0.01,0.68,-0.41
510.785,0.12,0.58,-0.52
510.906,0.14,0.86,-0.45
510.966,0.02,0.61,-0.53
511.086,-0.01,0.86,-0.51
511.206,0.15,0.8,-0.46
511.266,0.02,0.84,-0.46
511.386,-0.01,0.39,-0.58
511.505,0.07,0.4,-0.48
511.564,0.09,0.46,-0.4
511.685,0.11,0.41,-0.41
511.805,0.22,0.57,-0.49
511.865,0.18,0.47,-0.47
511.986,0.25,0.4,-0.48
512.105,0.12,0.51,-0.41
512.166,0.01,0.46,-0.55
512.285,0.26,0.44,-0.55
512.406,0.13,0.5,-0.58
512.466,0.1,0.41,-0.47
512.585,0.14,0.48,-0.52
512.705,0.22,0.48,-0.54
512.766,0.21,0.4,-0.4
512.884,0.24,0.45,-0.48
513.004,0,0.51,-0.42
513.064,0.01,0.54,-0.55
513.184,0.15,0.42,-0.58
513.304,0.03,0.57,-0.39
513.365,0.14,0.86,-0.77
513.485,-0.01,0.6,-0.78
513.662,-0.01,0.82,-0.81
513.668,0.15,0.61,-0.61
513.785,0.08,0.83,-0.87
513.904,0.01,0.7,-0.71
513.964,0.02,0.66,-0.76
514.084,0.12,0.66,-0.63
514.204,0.13,0.68,-0.83
514.265,-0.01,0.6,-0.65
514.386,0.09,0.75,-0.7
514.563,0.13,0.61,-0.65
514.579,0.17,0.62,-0.59
514.685,0.16,0.62,-0.74
514.805,0.04,0.73,-0.87
514.866,0.01,0.69,-0.75
514.986,0.08,0.76,-0.78
515.106,0.06,0.62,-0.75
515.166,0.06,0.78,-0.74
515.343,0.04,0.86,-0.61
515.406,0.09,0.57,-0.52
515.467,0.23,0.85,-0.46
515.585,0.13,0.78,-0.49
515.706,0.25,0.8,-0.57
515.766,0.1,0.81,-0.53
515.886,0.19,0.68,-0.39
516.004,0.14,0.7,-0.55
516.065,0.25,0.7,-0.39
516.185,0.21,0.7,-0.45
516.305,0.07,0.62,-0.47
516.365,0.01,0.52,-0.46
516.485,0.2,0.46,-0.56
516.662,0.17,0.5,-0.4
516.668,0.16,0.43,-0.42
516.786,0.15,0.42,-0.42
516.908,0.06,0.41,-0.57
516.965,0.23,0.4,-0.49
517.085,0.03,0.51,-0.44
517.205,-0.01,0.39,-0.39
517.265,0.04,0.49,-0.41
517.385,0.07,0.45,-0.46
517.505,0.04,0.51,-0.41
517.566,0.14,0.55,-0.55
517.686,0.12,0.48,-0.49
517.807,0.07,0.54,-0.57
517.865,0.07,0.4,-0.39
517.985,0.14,0.57,-0.46
518.107,0.14,0.43,-0.51
518.226,0.13,0.56,-0.52
518.287,-0.01,0.56,-0.53
518.404,0.1,0.59,-0.57
518.464,0.16,0.67,-0.52
