Temps,EMG1,EMG2,EMG3
683.35,-0.15,-0.15,0.85
683.411,-0.2,-0.11,0.8
683.53,-0.19,-0.25,0.67
683.65,-0.24,-0.19,0.84
683.709,-0.14,-0.12,0.85
683.828,-0.35,-0.26,0.72
683.949,-0.37,-0.16,0.87
684.065,-0.11,-0.18,0.78
684.128,-0.12,-0.08,0.7
684.249,-0.38,-0.11,0.85
684.309,-0.28,-0.26,0.67
684.428,-0.34,-0.26,0.81
684.548,-0.09,-0.12,0.74
684.608,-0.35,-0.18,0.85
684.729,-0.15,-0.17,0.69
684.85,-0.31,-0.21,0.73
684.908,-0.16,-0.13,0.77
685.03,-0.33,-0.15,0.75
685.15,-0.1,-0.27,0.78
685.209,-0.24,-0.26,0.87
685.33,-0.15,-0.38,0.69
685.45,-0.25,-0.34,0.68
685.51,-0.17,-0.19,0.73
685.63,-0.21,-0.4,0.7
685.748,-0.1,-0.28,0.7
685.808,-0.17,-0.26,0.85
685.928,-0.07,-0.37,0.77
686.048,-0.11,-0.25,0.83
686.109,-0.23,-0.41,0.77
686.23,-0.16,-0.22,0.79
686.349,-0.14,-0.39,0.84
686.408,-0.18,-0.4,0.73
686.529,-0.06,-0.38,0.69
686.65,-0.17,-0.21,0.83
686.708,-0.2,-0.37,0.85
686.829,-0.17,-0.26,0.85
686.95,-0.21,-0.12,0.7
687.009,-0.2,-0.36,0.83
687.13,-0.2,-0.28,0.81
687.25,-0.1,-0.25,0.71
687.309,-0.32,-0.41,1.06
687.428,-0.2,-0.2,1.05
687.549,-0.32,-0.34,1.1
687.608,-0.09,-0.24,1.25
687.73,-0.28,-0.15,1.16
687.853,-0.1,-0.14,1.15
687.91,-0.35,-0.37,1.14
688.029,-0.15,-0.3,1.01
688.15,-0.26,-0.15,1.15
688.21,-0.36,-0.38,1.29
688.329,-0.13,-0.27,1.08
688.45,-0.19,-0.25,1.17
688.51,-0.11,-0.23,1.28
688.629,-0.11,-0.25,1.03
688.748,-0.09,-0.27,1.07
688.808,-0.22,-0.27,1.09
688.928,-0.32,-0.2,1.03
689.05,-0.36,-0.18,1.12
689.109,-0.28,-0.14,1.19
689.229,-0.25,-0.17,1.24
689.35,-0.06,-0.16,0.68
689.41,-0.23,-0.22,0.74
689.53,-0.07,-0.23,0.8
689.65,-0.11,-0.26,0.72
689.708,-0.19,-0.2,0.81
689.828,-0.12,-0.2,0.81
689.949,-0.24,-0.16,0.86
690.008,-0.14,-0.08,0.87
690.129,-0.2,-0.19,0.71
690.25,-0.07,-0.17,0.69
690.311,-0.17,-0.35,0.79
690.429,-0.12,-0.11,0.72
690.549,-0.13,-0.36,0.75
690.61,-0.06,-0.24,0.71
690.729,-0.19,-0.4,0.7
690.853,-0.22,-0.11,0.82
690.91,-0.07,-0.39,0.76
691.03,-0.12,-0.35,0.69
691.152,-0.17,-0.32,0.69
691.208,-0.11,-0.14,0.83
691.327,-0.1,-0.39,0.83
691.506,-0.13,-0.14,0.76
691.52,-0.28,-0.14,0.69
691.687,-0.22,-0.38,0.82
691.748,-0.29,-0.35,0.81
691.808,-0.12,-0.16,0.74
691.928,-0.24,-0.21,0.85
692.051,-0.32,-0.11,0.86
692.108,-0.19,-0.15,0.79
692.228,-0.14,-0.16,0.83
692.408,-0.11,-0.36,0.85
692.427,-0.35,-0.41,0.72
692.528,-0.37,-0.16,0.83
692.649,-0.08,-0.2,0.87
692.709,-0.17,-0.31,0.8
692.83,-0.26,-0.25,0.83
692.949,-0.22,-0.31,0.69
693.01,-0.18,-0.22,0.73
693.129,-0.15,-0.3,0.8
693.249,-0.2,-0.4,0.77
693.313,-0.12,-0.23,1.24
693.429,-0.08,-0.15,1.16
693.549,-0.1,-0.25,1.15
693.609,-0.19,-0.08,1.15
693.729,-0.16,-0.14,1.04
693.849,-0.08,-0.2,1.28
693.909,-0.17,-0.18,1.02
694.03,-0.2,-0.14,1.06
694.151,-0.22,-0.16,1.15
694.209,-0.13,-0.2,1.13
694.328,-0.16,-0.2,1.23
694.451,-0.14,-0.27,1.3
694.509,-0.14,-0.18,1.27
694.63,-0.24,-0.12,1.12
694.751,-0.19,-0.21,1.1
694.809,-0.09,-0.09,1.3
694.928,-0.12,-0.14,1.29
695.051,-0.21,-0.11,1.2
695.108,-0.24,-0.16,1.11
695.287,-0.23,-0.09,1.06
695.406,-0.3,-0.26,0.69
695.42,-0.27,-0.21,0.68
695.53,-0.32,-0.27,0.76
695.65,-0.19,-0.21,0.77
695.71,-0.15,-0.11,0.7
695.833,-0.19,-0.4,0.75
695.95,-0.23,-0.3,0.75
696.066,-0.26,-0.11,0.68
696.128,-0.28,-0.3,0.76
696.249,-0.33,-0.15,0.87
696.31,-0.16,-0.16,0.76
696.432,-0.17,-0.39,0.79
696.549,-0.33,-0.14,0.7
696.609,-0.22,-0.22,0.71
696.728,-0.09,-0.32,0.82
696.85,-0.14,-0.17,0.72
696.908,-0.08,-0.18,0.69
697.028,-0.28,-0.17,0.73
697.149,-0.32,-0.13,0.76
697.209,-0.24,-0.25,0.68
697.331,-0.21,-0.29,0.72
697.449,-0.09,-0.18,0.67
697.509,-0.07,-0.33,0.86
697.63,-0.21,-0.17,0.7
697.749,-0.16,-0.37,0.75
697.808,-0.13,-0.36,0.81
697.931,-0.21,-0.16,0.82
698.051,-0.12,-0.2,0.81
698.109,-0.25,-0.19,0.85
698.229,-0.13,-0.33,0.79
698.35,-0.18,-0.17,0.75
698.408,-0.12,-0.09,0.73
698.529,-0.06,-0.2,0.84
698.649,-0.19,-0.16,0.74
698.708,-0.13,-0.08,0.81
698.829,-0.24,-0.13,0.74
698.949,-0.12,-0.15,0.7
